Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2016/8/9,SPY,218.130005,218.759995,217.800003,218.179993,211.69577,51251700
2016/8/10,SPY,218.309998,218.399994,217.229996,217.639999,211.171844,57941100
2016/8/11,SPY,218.259995,218.940002,217.949997,218.649994,212.15181,68960100
2016/8/12,SPY,218.289993,218.710007,217.990005,218.460007,211.967468,61313500
2016/8/15,SPY,218.889999,219.5,218.880005,219.089996,212.578751,49813500
2016/8/16,SPY,218.600006,218.679993,217.960007,217.960007,211.48233,53213600
2016/8/17,SPY,218,218.529999,217.020004,218.369995,211.880127,75134300
2016/8/18,SPY,218.339996,218.899994,218.210007,218.860001,212.355591,52989300
2016/8/19,SPY,218.309998,218.75,217.740005,218.539993,212.045074,75443000
2016/8/22,SPY,218.259995,218.800003,217.830002,218.529999,212.03537,61368800
2016/8/23,SPY,219.25,219.600006,218.899994,218.970001,212.462326,53399200
2016/8/24,SPY,218.800003,218.910004,217.360001,217.850006,211.375595,71728900
2016/8/25,SPY,217.399994,218.190002,217.220001,217.699997,211.230042,69224800
2016/8/26,SPY,217.919998,219.119995,216.25,217.289993,210.832214,122506300
2016/8/29,SPY,217.440002,218.669998,217.399994,218.360001,211.870453,68606100
2016/8/30,SPY,218.259995,218.589996,217.350006,218,211.521133,58114500
2016/8/31,SPY,217.610001,217.75,216.470001,217.380005,210.919571,85269500
2016/9/1,SPY,217.369995,217.729996,216.029999,217.389999,210.929245,97844200
2016/9/2,SPY,218.389999,218.869995,217.699997,218.369995,211.880127,79293900
2016/9/6,SPY,218.699997,219.119995,217.860001,219.029999,212.520538,56702100
2016/9/7,SPY,218.839996,219.220001,218.300003,219.009995,212.501099,76554900
2016/9/8,SPY,218.619995,218.940002,218.149994,218.509995,212.015991,73011600
2016/9/9,SPY,216.970001,217.029999,213.25,213.279999,206.941422,221589100
2016/9/12,SPY,212.389999,216.809998,212.309998,216.339996,209.910446,168110900
2016/9/13,SPY,214.839996,215.149994,212.5,213.229996,206.892883,182828800
2016/9/14,SPY,213.289993,214.699997,212.5,213.149994,206.815277,134185500
2016/9/15,SPY,212.960007,215.729996,212.75,215.279999,208.881958,134427900
2016/9/16,SPY,213.479996,213.690002,212.570007,213.369995,208.074509,155236400
2016/9/19,SPY,214.130005,214.880005,213.029999,213.410004,208.11351,78968600
2016/9/20,SPY,214.410004,214.589996,213.380005,213.419998,208.12326,69665300
2016/9/21,SPY,214.240005,216.029999,213.440002,215.820007,210.46373,110284400
2016/9/22,SPY,217,217.529999,216.710007,217.179993,211.789963,76678700
2016/9/23,SPY,216.720001,216.880005,215.880005,215.990005,210.629486,73630900
2016/9/26,SPY,215.020004,215.229996,214.009995,214.240005,208.922928,89827300
2016/9/27,SPY,214.050003,215.679993,213.619995,215.570007,210.21994,78494800
2016/9/28,SPY,215.830002,216.820007,214.710007,216.639999,211.263382,87411000
2016/9/29,SPY,216.399994,216.869995,214.039993,214.679993,209.352005,128070600
2016/9/30,SPY,215.649994,217.119995,215.360001,216.300003,210.931808,117202900
2016/10/3,SPY,215.820007,216.039993,215.039993,215.779999,210.424698,83512100
2016/10/4,SPY,215.910004,216.169998,213.990005,214.679993,209.352005,119948100
2016/10/5,SPY,215.410004,216.130005,215.330002,215.630005,210.278458,72816000
2016/10/6,SPY,215.369995,216.039993,214.740005,215.779999,210.424698,62927400
2016/10/7,SPY,216.100006,216.300003,214.190002,215.039993,209.703064,89788300
2016/10/10,SPY,216.160004,216.699997,215.990005,216.160004,210.795288,50602600
2016/10/11,SPY,215.660004,215.740005,212.580002,213.429993,208.133026,130367400
2016/10/12,SPY,213.589996,214.320007,213.009995,213.710007,208.406097,73866100
